code;nom_fr;nom_en;niveau;ouvert;prefix
BAC_A1;BAC A1 (ENSEIGNEMENT GENERAL);BAC A1  (GENERAL EDUCATION);1;0;
BAC_A2;BAC A2 (ENSEIGNEMENT GENERAL);BAC A2  (GENERAL EDUCATION);1;0;
BAC_A3;BAC A3 (ENSEIGNEMENT GENERAL);BAC A3  (GENERAL EDUCATION);1;0;
BAC_A4;BAC A4 (ENSEIGNEMENT GENERAL);BAC A4  (GENERAL EDUCATION);1;0;
BAC_A5;BAC A5 (ENSEIGNEMENT GENERAL);BAC A5  (GENERAL EDUCATION);1;0;
BAC_B;BAC B (ENSEIGNEMENT GENERAL);BAC B  (GENERAL EDUCATION);1;1;BACB
BAC_C;BAC C (ENSEIGNEMENT GENERAL);BAC C  (GENERAL EDUCATION);1;1;BACCDE
BAC_D;BAC D (ENSEIGNEMENT GENERAL);BAC D  (GENERAL EDUCATION);1;1;BACCDE
BAC_E;BAC E (ENSEIGNEMENT GENERAL);BAC E  (GENERAL EDUCATION);1;1;BACCDE
BAC_G1;BAC G1/ACA (TECHNIQUE COMMERCIAL);BAC G1/ACA  (COMMERCIAL TECHNOLOGY);1;1;BACG1
BAC_G2;BAC G2/CG (TECHNIQUE COMMERCIAL);BAC G2/CG  (COMMERCIAL TECHNOLOGY);1;1;BACG2
BAC_G3;BAC G3/ACC (TECHNIQUE COMMERCIAL);BAC G3/ACC  (COMMERCIAL TECHNOLOGY);1;1;BACG3
BAC_FIG;BAC FIG (TECHNIQUE COMMERCIAL);BAC FIG  (COMMERCIAL TECHNOLOGY);1;0;
BAC_AF;BAC AF (ARTISTIQUE);BAC AF  (ARTISTIC);1;0;
BAC_CI;BAC CI (CHIMIE INDUSTRIELLE);BAC CI  (INDUSTRIAL CHEMISTRY);1;1;BACCI
BAC_F1;BAC F1 (FABRICATION MECANIQUE);BAC F1  (MECHANICAL MANUFACTURING);1;1;BF1CHM
BAC_F2;BAC F2 (ELECTRONIQUE);BAC F2  (ELECTRONICS);1;1;BF2MAV
BAC_F3;BAC F3 (ELECTROTECHNIQUE);BAC F3  (ELECTRICAL ENGINEERING);1;1;BF3MEM
BAC_F4;BAC F4 (GENIE CIVIL);BAC F4  (CIVIL ENGINEERING);1;1;BACF4
BAC_F5;BAC F5 (FROID ET CLIMATISATION);BAC F5  (COOLING AND AIR CONDITIONING);1;1;BACF5
BAC_F7;BAC F7 (SCIENCES BIOLOGIQUES);BAC F7  (BIOLOGICAL SCIENCES);1;0;
BAC_F8;BAC F8 (SCIENCES MEDICO-SOCIALES);BAC F8  (MEDICAL AND SOCIAL SCIENCES);1;1;
BAC_TIC;BAC TIC (TECHNOLOGIE DE L'INFORMATION);BAC TIC  (INFORMATION TECHNOLOGY);1;1;BACTIC
BAC_II;BAC II (INFORMATIQUE);BAC II  (COMPUTER SCIENCE);1;1;BACII
BT_AG;BT AG (AGRICOLE);BT AG  (AGRICULTURE);1;0;
BT_EF;BT EF (EXPLOITATION FORESTIERE);BT EF  (FORESTRY);1;1;BTEF
BT_ESF;BT ESF (ECONOMIE SOCIALE ET FAMILIALE);BT ESF  (SOCIAL AND FAMILY ECONOMICS);1;1;BTESF
BT_GT;BT GT (GEOMETRE TOPOGRAPHE);BT GT  (SURVEYOR/TOPOGRAPHER);1;1;BTGT
BT_HO;BT HO (HOTELLERIE);BT HO  (HOSPITALITY);1;0;
BT_IB;BT IB (INDUSTRIE DU BOIS);BT IB  (WOOD INDUSTRY);1;1;BTIB
BT_IH;BT IH (INDUSTRIE DE L'HABILLEMENT);BT IH  (CLOTHING INDUSTRY);1;1;BTIH
BT_IS;BT IS (INSTALLATION SANITAIRE);BT IS  (PLUMBING);1;1;BTIS
BT_MF;BT MF/CM (METAUX ET CONSTRUCTION METALLIQUE);BT MF/CM  (METALS AND METAL CONSTRUCTION);1;1;BF1CHM
BT_MA;BT MA (MECANIQUE AUTOMOBILE);BT MA  (AUTOMOTIVE MECHANICS);1;1;BTMA
BT_CM;BT CM (CONSTRUCTION MECANIQUE);BT CM  (MECHANICAL ENGINEERING);1;1;BTCM
BT_MAV;BT MAV (MAINTENANCE DES EQUIPEMENTS AUDIO-VISUELS);BT MAV  (AUDIO-VISUAL EQUIPMENT MAINTENANCE);1;1;BF2MAV
